,trial_id,state,value,datetime_start,datetime_complete,params,params,params,params,params,system_attrs
,,,,,,boosting,learning_rate,min_child_samples,n_estimators,num_leaves,fail_reason
35,35,TrialState.COMPLETE,2.006087549076679,2018-12-12 23:30:15.109865,2018-12-12 23:30:15.390685,dart,0.005681165298048638,56,12,100,
36,36,TrialState.COMPLETE,1.9830403473805454,2018-12-12 23:30:15.401794,2018-12-12 23:30:15.897401,goss,0.0015566471832230895,51,80,99,
37,37,TrialState.COMPLETE,2.0265348901043057,2018-12-12 23:30:15.908761,2018-12-12 23:30:17.085392,dart,9.651686014061939e-08,3,31,92,
38,38,TrialState.COMPLETE,2.026551599044281,2018-12-12 23:30:17.096993,2018-12-12 23:30:21.157220,gbdt,4.724102819802159e-06,2,70,99,
39,39,TrialState.COMPLETE,2.024640474607272,2018-12-12 23:30:21.172720,2018-12-12 23:30:29.611754,goss,2.2639982421035434e-05,4,277,95,
40,40,TrialState.COMPLETE,5.593021846717255,2018-12-12 23:30:29.623994,2018-12-12 23:30:33.924438,dart,3.4310950247130984e-05,17,397,96,
41,41,TrialState.COMPLETE,2.0203688200882226,2018-12-12 23:30:33.960546,2018-12-12 23:30:46.540896,gbdt,5.49509467019731e-05,4,383,95,
42,42,TrialState.COMPLETE,2.0352686470494765,2018-12-12 23:30:46.564585,2018-12-12 23:31:15.211398,goss,0.0001433000994434978,1,390,96,
43,43,TrialState.COMPLETE,2.016405560556464,2018-12-12 23:31:15.224158,2018-12-12 23:31:18.404643,goss,7.98729249259644e-05,20,452,100,
44,44,TrialState.COMPLETE,2.0284900007291116,2018-12-12 23:31:18.417794,2018-12-12 23:31:42.071097,gbdt,5.458506314570518e-05,2,397,100,
45,45,TrialState.COMPLETE,2.0213103337974387,2018-12-12 23:31:42.092111,2018-12-12 23:31:44.660586,goss,6.937624720025986e-05,24,319,99,
46,46,TrialState.COMPLETE,5.581798091836373,2018-12-12 23:31:44.678492,2018-12-12 23:31:48.762340,dart,0.00013052196357642265,37,424,73,
47,47,TrialState.COMPLETE,2.0039630524132916,2018-12-12 23:31:48.778260,2018-12-12 23:31:50.720736,gbdt,0.00017329830765493176,54,323,71,
48,48,TrialState.COMPLETE,1.9923178381026634,2018-12-12 23:31:50.735544,2018-12-12 23:31:52.120440,goss,0.000355290102279008,47,258,68,
49,49,TrialState.COMPLETE,1.9891312775319867,2018-12-12 23:31:52.135999,2018-12-12 23:31:53.435334,goss,0.00032944005571926895,59,320,69,
50,50,TrialState.COMPLETE,1.9666307550346596,2018-12-12 23:31:53.449819,2018-12-12 23:31:54.840358,goss,0.0009689754497043445,64,223,77,
51,51,TrialState.FAIL,,2018-12-12 23:31:54.861387,,gbdt,4.9553203062235014e-08,14,1000,1,"Setting trial status as TrialState.FAIL because of the following error: LightGBMError('Check failed: num_leaves >1 at /__w/1/s/python-package/compile/src/io/config_auto.cpp, line 281 .\n',)"
52,52,TrialState.COMPLETE,2.026488187031769,2018-12-12 23:31:54.974385,2018-12-12 23:31:59.230071,gbdt,1.309631341150689e-07,13,993,3,
53,53,TrialState.COMPLETE,6.096690327394688,2018-12-12 23:31:59.247105,2018-12-12 23:32:14.822361,dart,3.844886205581352e-06,3,986,9,
54,54,TrialState.COMPLETE,2.019600878055224,2018-12-12 23:32:14.840103,2018-12-12 23:32:18.141301,goss,3.9518112312580883e-05,12,601,6,
